CustomerID,purchase_frequency,avg_order_value,last_purchase_days,tenure,target
C125,9,156.32,260,165,Medium
C126,9,115.6,246,668,Medium
C127,9,243.07,275,943,Medium
C128,10,244.33,32,283,Medium
C129,6,231.55,137,1275,Medium
C130,10,197.82,12,436,Medium
C131,14,118.76,302,1040,Medium
C132,8,191.39,16,1200,Medium
C133,11,149.65,129,1375,Medium
C134,7,215.62,63,303,Medium
C135,5,205.8,109,662,Medium
C136,7,117.54,21,869,Low
C137,9,197.39,158,351,Medium
C138,8,184.1,269,819,Medium
C139,10,11.32,162,372,Low
C140,9,190.05,260,451,Medium
C141,9,128.41,102,530,Medium
C142,5,105.7,223,182,Low
C143,5,107.84,59,842,Low
C144,8,143.24,247,956,Medium
C145,8,174.0,128,231,Medium
C146,3,81.73,283,1404,Low
C147,4,159.49,325,838,Low
C148,8,178.84,25,742,Medium
C149,9,243.09,131,790,Medium
C150,8,96.17,353,1087,Low
C151,8,132.52,196,138,Medium
C152,9,163.08,281,1415,Medium
C153,7,207.37,154,970,Medium
C154,11,134.79,133,1303,Medium
C155,10,209.93,227,1249,Medium
C156,10,53.13,189,644,Low
C157,9,87.33,265,493,Low
C158,6,167.43,134,981,Medium
C159,5,79.46,211,954,Low
C160,9,91.28,60,691,Low
C161,6,123.61,364,430,Low
C162,5,188.57,364,793,Low
C163,8,55.2,213,407,Low
C164,9,158.51,216,707,Medium
C165,12,201.65,226,471,Medium
C166,8,140.25,131,322,Medium
C167,14,131.56,76,1457,Medium
C168,3,170.09,286,906,Low
C169,6,140.39,277,642,Low
C170,8,219.52,156,945,Medium
C171,10,94.43,248,908,Low
C172,4,147.42,218,272,Low
C173,6,160.28,190,1154,Low
C174,9,131.08,163,486,Medium
C175,7,6.44,180,868,Low
C176,11,141.95,34,996,Medium
C177,11,195.01,41,1446,Medium
C178,8,188.91,307,216,Medium
C179,10,167.74,338,90,Medium
C180,8,95.11,314,1281,Low
C181,5,169.77,75,108,Low
C182,5,121.33,279,1445,Low
C183,12,167.67,176,673,Medium
C184,7,156.08,150,545,Medium
C185,13,101.18,273,1046,Medium
C186,6,105.38,325,1222,Low
C187,7,167.75,108,1381,Medium
C188,12,138.94,139,534,Medium
C189,8,107.99,350,1353,Low
C190,12,103.86,271,1414,Medium
C191,3,134.81,347,691,Low
C192,9,228.41,289,192,Medium
C193,6,123.7,212,1077,Low
C194,6,149.3,272,1363,Low
C195,8,155.08,66,609,Medium
C196,8,93.45,248,1266,Low
C197,6,61.86,156,948,Low
C198,5,98.67,47,263,Low
C199,9,162.35,201,1456,Medium
C200,11,154.37,148,1094,Medium
